id,concept_name,ts_code,name
TS10,火电,000539.SZ,粤电力A
TS10,火电,000543.SZ,皖能电力
TS10,火电,000552.SZ,靖远煤电
TS10,火电,000600.SZ,建投能源
TS10,火电,000601.SZ,韶能股份
TS10,火电,000690.SZ,宝新能源
TS10,火电,000720.SZ,新能泰山
TS10,火电,000767.SZ,漳泽电力
TS10,火电,000875.SZ,吉电股份
TS10,火电,000883.SZ,湖北能源
TS10,火电,000899.SZ,赣能股份
TS10,火电,000958.SZ,东方能源
TS10,火电,000966.SZ,长源电力
TS10,火电,001896.SZ,豫能控股
TS10,火电,002128.SZ,露天煤业
TS10,火电,002608.SZ,江苏国信
TS10,火电,600011.SH,华能国际
TS10,火电,600021.SH,上海电力
TS10,火电,600023.SH,浙能电力
TS10,火电,600027.SH,华电国际
TS10,火电,600098.SH,广州发展
TS10,火电,600121.SH,郑州煤电
TS10,火电,600157.SH,永泰能源
TS10,火电,600396.SH,*ST金山
TS10,火电,600509.SH,天富能源
TS10,火电,600578.SH,京能电力
TS10,火电,600642.SH,申能股份
TS10,火电,600726.SH,*ST华源
TS10,火电,600744.SH,华银电力
TS10,火电,600780.SH,通宝能源
TS10,火电,600795.SH,国电电力
TS10,火电,600863.SH,内蒙华电
TS10,火电,600886.SH,国投电力
TS10,火电,600971.SH,恒源煤电
TS10,火电,601088.SH,中国神华
TS10,火电,601918.SH,新集能源
TS10,火电,601991.SH,大唐发电
TS11,银行,000001.SZ,平安银行
TS11,银行,002142.SZ,宁波银行
TS11,银行,002807.SZ,江阴银行
TS11,银行,002839.SZ,张家港行
TS11,银行,002936.SZ,郑州银行
TS11,银行,002948.SZ,青岛银行
TS11,银行,002958.SZ,青农商行
TS11,银行,600000.SH,浦发银行
TS11,银行,600015.SH,华夏银行
TS11,银行,600016.SH,民生银行
TS11,银行,600036.SH,招商银行
TS11,银行,600908.SH,无锡银行
TS11,银行,600919.SH,江苏银行
TS11,银行,600926.SH,杭州银行
TS11,银行,600928.SH,西安银行
TS11,银行,601009.SH,南京银行
TS11,银行,601128.SH,常熟银行
TS11,银行,601166.SH,兴业银行
TS11,银行,601169.SH,北京银行
TS11,银行,601229.SH,上海银行
TS11,银行,601288.SH,农业银行
TS11,银行,601328.SH,交通银行
TS11,银行,601398.SH,工商银行
TS11,银行,601577.SH,长沙银行
TS11,银行,601818.SH,光大银行
TS11,银行,601838.SH,成都银行
TS11,银行,601860.SH,紫金银行
TS11,银行,601939.SH,建设银行
TS11,银行,601988.SH,中国银行
TS11,银行,601997.SH,贵阳银行
TS11,银行,601998.SH,中信银行
TS11,银行,603323.SH,苏农银行
TS12,碳纤维,000420.SZ,吉林化纤
TS12,碳纤维,000584.SZ,哈工智能
TS12,碳纤维,000687.SZ,华讯方舟
TS12,碳纤维,000928.SZ,中钢国际
TS12,碳纤维,000969.SZ,安泰科技
TS12,碳纤维,002006.SZ,精功科技
TS12,碳纤维,002168.SZ,惠程科技
TS12,碳纤维,002171.SZ,楚江新材
TS12,碳纤维,002297.SZ,博云新材
TS12,碳纤维,002450.SZ,*ST康得
TS12,碳纤维,002529.SZ,海源复材
TS12,碳纤维,300690.SZ,双一科技
TS12,碳纤维,300699.SZ,光威复材
TS12,碳纤维,300777.SZ,中简科技
TS12,碳纤维,600089.SH,特变电工
TS12,碳纤维,600143.SH,金发科技
TS12,碳纤维,600516.SH,方大炭素
TS12,碳纤维,600688.SH,上海石化
TS12,碳纤维,600869.SH,智慧能源
TS12,碳纤维,603077.SH,和邦生物
TS13,安邦系,000002.SZ,万科A
TS13,安邦系,000402.SZ,金融街
TS13,安邦系,000423.SZ,东阿阿胶
TS13,安邦系,000625.SZ,长安汽车
TS13,安邦系,000998.SZ,隆平高科
TS13,安邦系,001979.SZ,招商蛇口
TS13,安邦系,002202.SZ,金风科技
TS13,安邦系,002405.SZ,四维图新
TS13,安邦系,002672.SZ,东江环保
TS13,安邦系,600016.SH,民生银行
TS13,安邦系,600036.SH,招商银行
TS13,安邦系,600048.SH,保利地产
TS13,安邦系,600068.SH,葛洲坝
TS13,安邦系,600085.SH,同仁堂
TS13,安邦系,600104.SH,上汽集团
TS13,安邦系,600376.SH,首开股份
TS13,安邦系,600383.SH,金地集团
TS13,安邦系,600694.SH,大商股份
TS13,安邦系,600697.SH,欧亚集团
TS13,安邦系,600741.SH,华域汽车
TS13,安邦系,600804.SH,鹏博士
TS13,安邦系,601186.SH,中国铁建
TS13,安邦系,601390.SH,中国中铁
TS13,安邦系,601398.SH,工商银行
TS13,安邦系,601668.SH,中国建筑
TS13,安邦系,601800.SH,中国交建
TS13,安邦系,601988.SH,中国银行
TS14,特高压,000400.SZ,许继电气
TS14,特高压,002132.SZ,恒星科技
TS14,特高压,002359.SZ,*ST北讯
TS14,特高压,002452.SZ,长高集团
TS14,特高压,002498.SZ,汉缆股份
TS14,特高压,002545.SZ,东方铁塔
TS14,特高压,002560.SZ,通达股份
TS14,特高压,002606.SZ,大连电瓷
TS14,特高压,002692.SZ,ST远程
TS14,特高压,002879.SZ,长缆科技
TS14,特高压,300018.SZ,中元股份
TS14,特高压,300069.SZ,金利华电
TS14,特高压,300099.SZ,精准信息
TS14,特高压,300215.SZ,电科院
TS14,特高压,300265.SZ,通光线缆
TS14,特高压,300325.SZ,德威新材
TS14,特高压,300617.SZ,安靠智电
TS14,特高压,600089.SH,特变电工
TS14,特高压,600268.SH,国电南自
TS14,特高压,600312.SH,平高电气
TS14,特高压,600406.SH,国电南瑞
TS14,特高压,600452.SH,涪陵电力
TS14,特高压,600517.SH,置信电气
TS14,特高压,600525.SH,长园集团
TS14,特高压,600550.SH,保变电气
TS14,特高压,600869.SH,智慧能源
TS14,特高压,601126.SH,四方股份
TS14,特高压,601179.SH,中国西电
TS14,特高压,601616.SH,广电电气
TS14,特高压,601700.SH,风范股份
TS14,特高压,603016.SH,新宏泰
TS14,特高压,603050.SH,科林电气
TS14,特高压,603577.SH,汇金通
TS14,特高压,603618.SH,杭电股份
TS14,特高压,603666.SH,亿嘉和
TS14,特高压,603988.SH,中电电机
TS15,高股息,000002.SZ,万科A
TS15,高股息,000027.SZ,深圳能源
TS15,高股息,000039.SZ,中集集团
TS15,高股息,000069.SZ,华侨城A
TS15,高股息,000100.SZ,TCL集团
TS15,高股息,000400.SZ,许继电气
TS15,高股息,000402.SZ,金融街
TS15,高股息,000550.SZ,江铃汽车
TS15,高股息,000625.SZ,长安汽车
TS15,高股息,000651.SZ,格力电器
TS15,高股息,000726.SZ,鲁泰A
TS15,高股息,000828.SZ,东莞控股
TS15,高股息,000895.SZ,双汇发展
TS15,高股息,000999.SZ,华润三九
TS15,高股息,001979.SZ,招商蛇口
TS15,高股息,002003.SZ,伟星股份
TS15,高股息,002014.SZ,永新股份
TS15,高股息,002039.SZ,黔源电力
TS15,高股息,002128.SZ,露天煤业
TS15,高股息,002140.SZ,东华科技
TS15,高股息,002187.SZ,广百股份
TS15,高股息,002275.SZ,桂林三金
TS15,高股息,002391.SZ,长青股份
TS15,高股息,002419.SZ,天虹股份
TS15,高股息,002440.SZ,闰土股份
TS15,高股息,002557.SZ,洽洽食品
TS15,高股息,002561.SZ,徐家汇
TS15,高股息,002563.SZ,森马服饰
TS15,高股息,002662.SZ,京威股份
TS15,高股息,300146.SZ,汤臣倍健
TS15,高股息,600011.SH,华能国际
TS15,高股息,600018.SH,上港集团
TS15,高股息,600019.SH,宝钢股份
TS15,高股息,600023.SH,浙能电力
TS15,高股息,600027.SH,华电国际
TS15,高股息,600028.SH,中国石化
TS15,高股息,600029.SH,南方航空
TS15,高股息,600033.SH,福建高速
TS15,高股息,600048.SH,保利地产
TS15,高股息,600060.SH,海信电器
TS15,高股息,600062.SH,华润双鹤
TS15,高股息,600066.SH,宇通客车
TS15,高股息,600104.SH,上汽集团
TS15,高股息,600170.SH,上海建工
TS15,高股息,600177.SH,雅戈尔
TS15,高股息,600299.SH,安迪苏
TS15,高股息,600312.SH,平高电气
TS15,高股息,600350.SH,山东高速
TS15,高股息,600377.SH,宁沪高速
TS15,高股息,600398.SH,海澜之家
TS15,高股息,600449.SH,宁夏建材
TS15,高股息,600500.SH,中化国际
TS15,高股息,600511.SH,国药股份
TS15,高股息,600548.SH,深高速
TS15,高股息,600578.SH,京能电力
TS15,高股息,600585.SH,海螺水泥
TS15,高股息,600598.SH,北大荒
TS15,高股息,600612.SH,老凤祥
TS15,高股息,600642.SH,申能股份
TS15,高股息,600657.SH,信达地产
TS15,高股息,600660.SH,福耀玻璃
TS15,高股息,600741.SH,华域汽车
TS15,高股息,600795.SH,国电电力
TS15,高股息,600826.SH,兰生股份
TS15,高股息,600875.SH,东方电气
TS15,高股息,600886.SH,国投电力
TS15,高股息,600887.SH,伊利股份
TS15,高股息,601006.SH,大秦铁路
TS15,高股息,601088.SH,中国神华
TS15,高股息,601111.SH,中国国航
TS15,高股息,601158.SH,重庆水务
TS15,高股息,601186.SH,中国铁建
TS15,高股息,601369.SH,陕鼓动力
TS15,高股息,601390.SH,中国中铁
TS15,高股息,601566.SH,九牧王
TS15,高股息,601618.SH,中国中冶
TS15,高股息,601668.SH,中国建筑
TS15,高股息,601669.SH,中国电建
TS15,高股息,601688.SH,华泰证券
TS15,高股息,601700.SH,风范股份
TS15,高股息,601800.SH,中国交建
TS15,高股息,601898.SH,中煤能源
TS15,高股息,603001.SH,奥康国际
TS15,高股息,603188.SH,亚邦股份
TS15,高股息,603198.SH,迎驾贡酒
TS16,光通信,000063.SZ,中兴通讯
TS16,光通信,000070.SZ,特发信息
TS16,光通信,000586.SZ,汇源通信
TS16,光通信,000801.SZ,四川九洲
TS16,光通信,000836.SZ,富通鑫茂
TS16,光通信,000988.SZ,华工科技
TS16,光通信,002089.SZ,*ST新海
TS16,光通信,002281.SZ,光迅科技
TS16,光通信,002309.SZ,中利集团
TS16,光通信,002491.SZ,通鼎互联
TS16,光通信,002792.SZ,通宇通讯
TS16,光通信,002897.SZ,意华股份
TS16,光通信,002902.SZ,铭普光磁
TS16,光通信,002929.SZ,润建股份
TS16,光通信,300252.SZ,金信诺
TS16,光通信,300265.SZ,通光线缆
TS16,光通信,300292.SZ,吴通控股
TS16,光通信,300308.SZ,中际旭创
TS16,光通信,300394.SZ,天孚通信
TS16,光通信,300395.SZ,菲利华
TS16,光通信,300398.SZ,飞凯材料
TS16,光通信,300408.SZ,三环集团
TS16,光通信,300502.SZ,新易盛
TS16,光通信,300504.SZ,天邑股份
TS16,光通信,300548.SZ,博创科技
TS16,光通信,300565.SZ,科信技术
TS16,光通信,300570.SZ,太辰光
TS16,光通信,300620.SZ,光库科技
TS16,光通信,300698.SZ,万马科技
TS16,光通信,300710.SZ,万隆光电
TS16,光通信,600105.SH,永鼎股份
TS16,光通信,600260.SH,凯乐科技
TS16,光通信,600345.SH,长江通信
TS16,光通信,600487.SH,亨通光电
TS16,光通信,600498.SH,烽火通信
TS16,光通信,600522.SH,中天科技
TS16,光通信,600703.SH,三安光电
TS16,光通信,600804.SH,鹏博士
TS16,光通信,601869.SH,长飞光纤
TS16,光通信,603042.SH,华脉科技
TS16,光通信,603083.SH,剑桥科技
TS16,光通信,603118.SH,共进股份
TS16,光通信,603618.SH,杭电股份
TS16,光通信,603688.SH,石英股份
TS16,光通信,603690.SH,至纯科技
TS16,光通信,603803.SH,瑞斯康达
TS17,草甘膦,000525.SZ,红太阳
TS17,草甘膦,000553.SZ,安道麦A
TS17,草甘膦,002004.SZ,华邦健康
TS17,草甘膦,600141.SH,兴发集团
TS17,草甘膦,600389.SH,江山股份
TS17,草甘膦,600486.SH,扬农化工
TS17,草甘膦,600596.SH,新安股份
TS17,草甘膦,603077.SH,和邦生物
TS17,草甘膦,603599.SH,广信股份
TS18,高速公路,000429.SZ,粤高速A
TS18,高速公路,000498.SZ,山东路桥
TS18,高速公路,000548.SZ,湖南投资
TS18,高速公路,000755.SZ,山西路桥
TS18,高速公路,000828.SZ,东莞控股
TS18,高速公路,000885.SZ,城发环境
TS18,高速公路,000886.SZ,海南高速
TS18,高速公路,000900.SZ,现代投资
TS18,高速公路,001965.SZ,招商公路
TS18,高速公路,600012.SH,皖通高速
